generation,best,avg,worst
0,16722,18598,20484
1,15897,17568,19644
2,15797,17051,19197
3,15492,16491,18539
4,15335,16137,18314
5,15251,15888,17217
6,15129,15946,17784
7,15075,15874,17440
8,14995,15859,17669
9,14948,15742,17241
10,14889,15619,17589
11,14771,15600,17715
12,14686,15429,16894
13,14692,15409,17228
14,14587,15374,17508
15,14591,15265,17520
16,14505,15352,18367
17,14517,15187,17220
18,14534,15244,17608
19,14482,15311,17375
20,14505,15241,17113
21,14477,15183,16761
22,14482,15203,17625
23,14488,15288,17771
24,14514,15130,17215
25,14482,15245,17577
26,14482,15253,16980
27,14514,15198,17135
28,14485,15167,17093
29,14495,15120,16984
30,14509,15056,17024
31,14495,15180,17186
32,14537,15125,16997
33,14532,15201,17802
34,14542,15287,17188
35,14586,15237,17259
36,14548,15279,17289
37,14521,15176,17093
38,14550,15225,17020
39,14548,15209,17226
40,14503,15308,17612
41,14528,15195,17896
42,14518,15295,17295
43,14487,15196,16923
44,14503,15218,17250
45,14486,15186,17216
46,14497,15243,16952
47,14481,15189,17808
48,14463,15110,17747
49,14475,15213,17623
50,14463,15146,16748
51,14464,15148,17085
52,14454,15158,17503
53,14465,15242,17348
54,14430,15086,17079
55,14449,15147,16986
56,14467,15231,17508
57,14472,15099,17121
58,14481,15214,17121
59,14455,15125,16714
60,14444,15153,17048
61,14450,15172,17129
62,14455,15211,17364
63,14486,15163,17021
64,14463,15253,17441
65,14461,15161,17551
66,14450,15135,17524
67,14521,15271,17410
68,14468,15223,17108
69,14494,15116,16924
70,14445,15223,16975
71,14464,15120,17530
72,14453,15097,16763
73,14437,15039,16869
74,14470,15103,17463
75,14437,15081,16985
76,14460,15143,16821
77,14437,14997,16728
78,14449,15174,16923
79,14463,15137,16894
80,14449,15050,16796
81,14410,15161,17068
82,14472,15183,16912
83,14507,15139,17256
84,14552,15152,16969
85,14516,15182,17670
86,14467,15163,17464
87,14415,15220,17061
88,14431,15028,18100
89,14439,15161,17303
90,14393,15085,17369
91,14444,15193,17765
92,14428,15073,16742
93,14472,15150,16910
94,14474,15075,16913
95,14430,15106,17436
96,14413,15178,17332
97,14392,15185,16875
98,14432,15176,17324
99,14392,15148,17245
100,14389,15113,16778
101,14390,15091,16828
102,14388,15149,17294
103,14375,15091,17406
104,14403,15104,16774
105,14375,15089,17329
106,14381,15016,17344
107,14375,15104,17456
108,14394,15134,16830
109,14324,15178,17062
110,14362,15062,16771
111,14419,15118,16752
112,14395,15058,16482
113,14396,15111,17146
114,14447,15046,17847
115,14435,15115,16906
116,14396,15018,16663
117,14430,15041,16885
118,14411,15093,16569
