generation,best,avg,worst
0,16367,18464,20626
1,15829,17470,19666
2,15456,16493,18316
3,15297,16143,17854
4,15035,16024,17768
5,15042,15790,18138
6,14774,15760,17787
7,14661,15442,17647
8,14583,15474,18201
9,14621,15334,18035
10,14557,15270,17726
11,14479,15153,17111
12,14520,15197,17198
13,14447,15124,17565
14,14439,15082,17725
15,14457,15092,17218
16,14402,15074,17540
17,14374,15054,17797
18,14383,15021,18105
19,14362,15160,16436
20,14385,15116,18115
21,14345,14981,16292
22,14345,15096,16818
23,14357,15024,17880
24,14388,15234,17843
25,14364,15136,17346
26,14353,15004,17882
27,14326,15038,17857
28,14341,15133,17810
29,14333,15026,17984
30,14335,15024,16539
31,14362,15004,16756
32,14339,15094,16645
33,14339,15047,17144
34,14364,15071,17920
35,14353,15100,17455
36,14368,15076,17760
37,14339,15064,17158
38,14353,14969,17168
39,14375,15047,17204
40,14335,15099,17774
41,14370,15050,17865
42,14353,15045,16940
43,14326,15127,18194
44,14338,15090,17971
45,14336,15083,17403
46,14334,15180,17986
47,14377,14995,17889
48,14389,15145,17096
49,14364,15150,17357
50,14467,15313,17980
51,14427,15254,17680
52,14384,15291,18121
53,14405,15180,17474
54,14357,15149,17130
55,14360,15048,17270
56,14372,15155,17291
57,14330,15105,17573
58,14337,15105,17722
59,14330,15113,17836
60,14302,15104,17073
61,14309,15065,17034
62,14276,15057,17951
63,14290,14946,16893
64,14282,15170,17859
65,14261,14993,17771
66,14269,14914,17796
67,14232,15018,17013
68,14226,14970,16634
69,14230,15011,16836
70,14247,15126,17245
71,14246,15109,16695
72,14254,15015,17154
73,14246,15068,17182
74,14266,15026,17953
75,14299,15041,17016
76,14212,14943,16963
77,14248,15048,16912
78,14212,14868,16416
79,14230,14938,17489
80,14188,15064,17511
81,14238,15145,17968
82,14232,15002,17213
83,14266,14933,17340
84,14263,15059,17266
85,14302,14947,17672
86,14230,15103,17992
87,14293,15059,17199
88,14269,15046,17961
89,14286,14974,17600
90,14263,15049,16968
91,14287,15079,17910
92,14287,15036,17840
93,14242,15120,17740
94,14282,14947,16703
95,14234,14999,18075
96,14289,15125,17372
97,14217,15109,18183
98,14234,15115,17390
99,14275,14978,17840
100,14287,15069,17836
101,14292,15214,17886
102,14286,15033,17355
103,14284,14979,17898
104,14266,15031,17116
105,14286,15012,17154
106,14280,15152,17175
107,14294,15145,17806
108,14298,15120,17936
109,14333,15139,17258
110,14294,14997,17877
111,14282,15139,17413
112,14295,14948,17964
113,14282,15155,17245
114,14250,14984,17358
115,14252,15059,17426
116,14253,14999,17829
117,14285,15034,17335
118,14245,14886,16916
119,14266,14859,17415
120,14279,15156,17981
121,14183,15000,17926
122,14209,15024,17045
123,14150,15002,17786
124,14163,14917,17454
125,14159,14936,17206
126,14228,14970,17141
127,14182,15030,17937
128,14153,14927,17899
129,14187,14979,17260
130,14171,15107,17357
131,14114,15020,17994
132,14128,14933,17084
133,14149,15070,17991
134,14185,15041,17276
135,14162,15057,17955
136,14224,15033,17489
137,14229,14972,16720
138,14160,15107,17984
139,14234,14960,17411
140,14221,15034,17898
141,14162,14912,18098
142,14159,14944,17263
143,14187,14950,18267
144,14136,14936,17274
145,14083,14937,17959
146,14083,14896,17142
147,14090,14912,17774
148,14110,14916,17837
149,14102,14883,16878
150,14110,14879,16946
151,14144,14834,17272
152,14131,14990,17760
153,14083,14949,17410
154,14110,15025,17949
155,14188,14903,17773
156,14158,14817,17790
157,14166,14981,17376
158,14145,14824,17001
159,14134,14949,16836
160,14115,14940,17076
161,14119,15021,17938
162,14111,14792,16548
163,14137,14925,18028
164,14101,14916,17967
165,14101,14856,17327
166,14110,15028,17930
167,14110,14892,18076
168,14132,14926,16692
169,14159,14949,17384
170,14132,15029,17853
171,14141,14915,17412
172,14111,14839,17361
173,14083,14894,17280
174,14088,14903,17447
175,14088,14936,17219
176,14132,14868,17019
177,14100,14923,17403
178,14107,14932,17019
179,14106,14926,17338
180,14111,14981,17346
181,14132,14823,17851
182,14172,15007,17809
183,14118,14971,17326
184,14163,14923,17964
185,14169,14994,17024
186,14140,14918,17492
187,14146,15030,16935
188,14140,14842,17278
189,14083,14987,17944
190,14100,15033,17420
191,14148,14960,17883
192,14081,15025,17399
