generation,best,avg,worst
0,16002,18701,20362
1,15739,17286,19243
2,15406,16441,18036
3,15274,16278,18471
4,14973,16155,18290
5,14863,15871,17725
6,14854,15846,18338
7,14749,15548,17580
8,14774,15628,17958
9,14701,15541,18420
10,14536,15329,17649
11,14612,15310,17607
12,14591,15347,17471
13,14608,15343,17613
14,14632,15453,17525
15,14631,15408,18069
16,14593,15432,17983
17,14554,15287,17805
18,14431,15232,17492
19,14380,15294,17429
20,14423,15197,17108
21,14308,15300,17946
22,14377,15247,17021
23,14354,15261,17814
24,14388,15139,17784
25,14335,15118,17724
26,14242,15138,17091
27,14198,15136,17392
28,14259,15031,17693
29,14251,14982,18009
30,14174,14976,17168
31,14271,15085,17242
32,14174,15054,17244
33,14127,15032,17791
34,14223,15007,17489
35,14160,14886,16592
36,14187,15110,17843
37,14160,14926,17002
38,14119,15053,17271
39,14139,14965,17780
40,14134,14890,16519
41,14099,15031,17933
42,14181,14916,17164
43,14177,14931,17779
44,14186,15097,17731
45,14155,14892,16734
46,14109,14911,16886
47,14145,14904,16359
48,14213,15012,17871
49,14188,15068,17461
50,14120,15064,16812
51,14138,14997,17295
52,14220,14941,17245
53,14244,14986,17148
54,14233,15022,17074
55,14137,15027,17247
56,14224,15068,17337
57,14217,14954,17128
58,14241,14994,17649
59,14184,14975,17252
60,14203,14959,16704
61,14181,15013,17658
62,14171,14985,17677
63,14172,14977,17742
64,14171,14989,17872
65,14161,14935,17588
66,14209,14865,17353
67,14174,14942,17673
68,14146,14953,17234
69,14161,14869,17261
70,14200,14964,17117
71,14212,14973,17198
72,14200,14986,16295
73,14216,14929,17204
74,14207,14872,18004
75,14213,15002,17896
76,14207,14928,17297
77,14218,14911,17325
78,14227,15025,17543
79,14194,14859,17473
80,14211,15009,17300
81,14212,14972,17902
82,14186,15155,17844
83,14186,15032,17845
84,14181,14980,16945
85,14186,15073,17859
86,14182,14981,17404
87,14124,15021,17264
88,14147,14949,17466
89,14138,14882,18500
90,14117,14941,17830
91,14124,14909,16790
92,14117,15092,17451
93,14116,14922,17743
94,14133,14881,16720
95,14110,14994,17840
96,14133,14892,17952
97,14110,14969,17319
98,14103,14930,17944
99,14110,14818,17930
100,14103,14890,17198
101,14097,14825,17944
102,14103,15023,17978
103,14126,14893,17207
104,14145,15056,17320
105,14145,14897,18520
106,14145,14992,17339
107,14132,15092,17493
108,14183,14879,16729
109,14133,14963,17863
110,14133,15069,17128
111,14152,15064,17425
112,14144,14988,17175
113,14157,14930,17895
114,14191,14942,18154
115,14164,14854,17152
116,14148,14942,17456
117,14192,14816,16751
118,14143,15037,17882
119,14138,14855,17377
120,14109,14940,17029
121,14133,14981,17947
122,14138,15025,18113
123,14072,14902,18034
124,14200,14981,17994
125,14183,15062,17860
126,14199,14966,17994
127,14072,14996,17907
128,14088,14909,17918
129,14132,14927,17942
130,14140,15023,18009
131,14135,14951,17838
132,14088,15055,17307
133,14088,15027,17179
134,14128,14910,17215
135,14191,15007,17078
136,14152,14909,17407
137,14081,14943,17197
138,14119,14991,18048
139,14094,15026,18016
140,14149,14913,17372
141,14170,14965,17929
142,14126,14899,17219
143,14152,14887,16907
144,14142,14837,17239
145,14152,14981,17287
146,14095,14949,17884
147,14118,14964,17196
148,14088,14900,17382
149,14072,14902,17974
150,14088,14942,17293
151,14145,14995,17711
152,14180,14979,18047
153,14183,15077,18025
154,14145,15009,17737
155,14156,15025,18119
156,14137,14941,17015
157,14088,14829,16731
158,14088,14923,16930
159,14123,14942,17974
160,14115,15039,17715
161,14141,14937,17162
162,14095,14840,17957
163,14152,14953,17974
164,14184,15026,17944
165,14179,15064,18002
166,14131,15014,17590
167,14144,14987,17183
168,14096,15046,18111
169,14123,14989,17120
170,14139,14925,17942
171,14129,14916,16373
172,14095,14827,18138
173,14121,14875,17128
174,14122,14908,16807
175,14119,14980,17905
176,14147,14925,18171
177,14148,14852,17143
178,14136,14825,17852
179,14136,14937,17935
180,14103,14994,17419
181,14100,14903,17966
182,14166,14965,17865
183,14182,14937,18057
184,14103,14930,17049
185,14196,15094,17332
186,14197,14990,18263
187,14152,15079,17262
188,14149,14792,16154
189,14140,14815,17990
190,14144,14996,17288
191,14113,14902,17461
192,14130,14973,17175
193,14083,14938,17019
194,14142,14876,17716
195,14083,14791,17005
196,14097,14864,16856
197,14110,14831,17995
198,14090,14908,17850
199,14097,14942,17701
200,14083,14862,17073
201,14083,14828,17752
202,14144,14913,17790
203,14083,14924,17790
204,14125,14872,17352
205,14110,14994,17686
206,14133,14792,16635
