Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
5;tai20_5_0.fsp;100;100;0.0;0.1;5;swap;ox;14183.0;14668.0;14378.2;171.85;10.772;10000;14033
6;tai20_5_0.fsp;100;100;0.3;0.1;5;swap;ox;14198.0;14559.0;14348.6;100.73;10.724;10000;14033
7;tai20_5_0.fsp;100;100;0.7;0.1;5;swap;ox;14130.0;14387.0;14270.2;86.03;10.639;10000;14033
8;tai20_5_0.fsp;100;100;1.0;0.1;5;swap;ox;14096.0;14406.0;14197.8;91.4;10.683;10000;14033
5;tai20_10_0.fsp;100;100;0.0;0.1;5;swap;ox;21419.0;22395.0;21925.9;334.96;19.758;10000;20911
6;tai20_10_0.fsp;100;100;0.3;0.1;5;swap;ox;21412.0;22010.0;21775.4;185.14;19.641;10000;20911
7;tai20_10_0.fsp;100;100;0.7;0.1;5;swap;ox;21001.0;21952.0;21513.1;268.22;19.197;10000;20911
8;tai20_10_0.fsp;100;100;1.0;0.1;5;swap;ox;21030.0;21747.0;21350.6;204.99;18.985;10000;20911
5;tai20_20_0.fsp;100;100;0.0;0.1;5;swap;ox;34009.0;35228.0;34644.5;316.67;35.865;10000;33623
6;tai20_20_0.fsp;100;100;0.3;0.1;5;swap;ox;34127.0;34665.0;34434.9;162.93;35.823;10000;33623
7;tai20_20_0.fsp;100;100;0.7;0.1;5;swap;ox;33830.0;34789.0;34510.0;289.64;35.749;10000;33623
8;tai20_20_0.fsp;100;100;1.0;0.1;5;swap;ox;33983.0;34899.0;34282.4;264.75;35.7;10000;33623
