Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
1;tai20_5_0.fsp;100;100;0.7;0.1;5;swap;ox;14222.0;14647.0;14366.2;125.35;10.887;10000;14033
2;tai20_5_0.fsp;20;500;0.7;0.1;5;swap;ox;14254.0;14569.0;14374.9;106.58;10.731;10000;14033
3;tai20_5_0.fsp;1000;10;0.7;0.1;5;swap;ox;14285.0;14605.0;14410.7;99.63;11.085;10000;14033
4;tai20_5_0.fsp;10000;1;0.7;0.1;5;swap;ox;15352.0;15628.0;15482.9;81.98;8.956;10000;14033
1;tai20_10_0.fsp;100;100;0.7;0.1;5;swap;ox;21102.0;22057.0;21689.0;314.25;19.405;10000;20911
2;tai20_10_0.fsp;20;500;0.7;0.1;5;swap;ox;21094.0;22304.0;21742.2;341.53;19.209;10000;20911
3;tai20_10_0.fsp;1000;10;0.7;0.1;5;swap;ox;21417.0;21935.0;21725.9;196.77;19.055;10000;20911
4;tai20_10_0.fsp;10000;1;0.7;0.1;5;swap;ox;22829.0;23243.0;23075.6;130.07;17.305;10000;20911
1;tai20_20_0.fsp;100;100;0.7;0.1;5;swap;ox;33963.0;34517.0;34304.3;182.33;36.425;10000;33623
2;tai20_20_0.fsp;20;500;0.7;0.1;5;swap;ox;34113.0;35238.0;34642.4;353.26;36.045;10000;33623
3;tai20_20_0.fsp;1000;10;0.7;0.1;5;swap;ox;34172.0;34813.0;34585.7;191.34;36.032;10000;33623
4;tai20_20_0.fsp;10000;1;0.7;0.1;5;swap;ox;35670.0;36238.0;36036.2;187.23;33.833;10000;33623
