Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
13;tai20_5_0.fsp;100;100;1;1;1;swap;ox;15293.0;15608.0;15402.3;122.88;10.646;10000;14033
14;tai20_5_0.fsp;100;100;1;1;5;swap;ox;14231.0;14404.0;14289.5;60.49;10.779;10000;14033
15;tai20_5_0.fsp;100;100;1;1;20;swap;ox;14054.0;14255.0;14120.9;64.6;11.602;10000;14033
16;tai20_5_0.fsp;100;100;1;1;100;swap;ox;14083.0;14373.0;14199.7;93.74;13.6;10000;14033
13;tai20_10_0.fsp;100;100;1;1;1;swap;ox;22778.0;23373.0;23119.4;231.07;19.812;10000;20911
14;tai20_10_0.fsp;100;100;1;1;5;swap;ox;21320.0;22000.0;21582.5;268.92;20.343;10000;20911
15;tai20_10_0.fsp;100;100;1;1;20;swap;ox;20971.0;21581.0;21248.4;183.91;21.039;10000;20911
16;tai20_10_0.fsp;100;100;1;1;100;swap;ox;21159.0;22065.0;21596.5;305.57;22.73;10000;20911
13;tai20_20_0.fsp;100;100;1;1;1;swap;ox;35672.0;36364.0;36065.5;242.46;37.671;10000;33623
14;tai20_20_0.fsp;100;100;1;1;5;swap;ox;34261.0;34606.0;34440.7;106.08;37.792;10000;33623
15;tai20_20_0.fsp;100;100;1;1;20;swap;ox;33770.0;34342.0;34119.3;180.64;38.333;10000;33623
16;tai20_20_0.fsp;100;100;1;1;100;swap;ox;34040.0;34489.0;34301.9;167.16;40.113;10000;33623
