Case_ID;Instance;Population Size;Generations number;Px;Pm;Tour;Mutation Type;Crossover Type;EA_Best;EA_Worst;EA_Avg;EA_Std;EA_Time(s);EA_NFE_Avg;Best_Known_Value
1;tai20_5_0.fsp;100;100;0.7;0.1;5;swap;ox;14107.0;14649.0;14310.2;157.11;13.634;10000;14033
2;tai20_5_0.fsp;20;500;0.7;0.1;5;swap;ox;14237.0;14552.0;14359.4;96.59;14.92;10000;14033
3;tai20_5_0.fsp;1000;10;0.7;0.1;5;swap;ox;14260.0;14441.0;14380.0;52.51;15.513;10000;14033
4;tai20_5_0.fsp;10000;1;0.7;0.1;5;swap;ox;15208.0;15752.0;15457.4;174.81;12.957;10000;14033
1;tai20_10_0.fsp;100;100;0.7;0.1;5;swap;ox;21065.0;22193.0;21636.9;379.13;28.571;10000;20911
2;tai20_10_0.fsp;20;500;0.7;0.1;5;swap;ox;21383.0;22312.0;21935.3;317.38;27.178;10000;20911
3;tai20_10_0.fsp;1000;10;0.7;0.1;5;swap;ox;21387.0;22032.0;21717.8;199.98;27.635;10000;20911
4;tai20_10_0.fsp;10000;1;0.7;0.1;5;swap;ox;22942.0;23408.0;23146.1;126.86;26.001;10000;20911
1;tai20_20_0.fsp;100;100;0.7;0.1;5;swap;ox;33928.0;34653.0;34301.4;239.37;49.958;10000;33623
2;tai20_20_0.fsp;20;500;0.7;0.1;5;swap;ox;34211.0;35251.0;34767.4;306.36;51.905;10000;33623
3;tai20_20_0.fsp;1000;10;0.7;0.1;5;swap;ox;34357.0;34729.0;34547.1;114.82;52.089;10000;33623
4;tai20_20_0.fsp;10000;1;0.7;0.1;5;swap;ox;35908.0;36425.0;36146.0;180.39;45.242;10000;33623
