generation,best,avg,worst
0,16267,18418,20634
1,16257,17502,19222
2,15538,16983,18986
3,15538,16555,17910
4,15379,16059,17655
5,15318,15804,17325
6,15111,15604,17849
7,14883,15517,17676
8,14809,15327,17921
9,14775,15175,16222
10,14775,15013,16080
11,14743,14897,16626
12,14743,14837,16541
13,14717,14817,15971
14,14693,14823,17044
15,14683,14814,18102
16,14633,14777,16218
17,14633,14749,16363
18,14599,14716,15828
19,14571,14687,15907
20,14571,14651,15892
21,14555,14604,15846
22,14555,14646,16852
23,14555,14611,15561
24,14463,14601,16083
25,14453,14599,16824
26,14429,14563,15383
27,14393,14626,17577
28,14393,14530,17508
29,14370,14513,16719
30,14370,14453,15917
31,14363,14481,17693
32,14363,14416,15853
33,14330,14442,16396
34,14330,14415,16826
35,14330,14416,15846
36,14330,14449,15896
37,14330,14406,16988
38,14330,14402,15896
39,14330,14399,15861
40,14330,14377,15295
41,14330,14418,16703
42,14330,14414,16703
43,14330,14363,15659
44,14330,14376,15483
45,14330,14367,16107
46,14330,14428,16988
47,14330,14358,15776
48,14330,14355,15659
49,14330,14414,16907
50,14330,14437,15930
51,14330,14398,16363
52,14330,14398,16066
53,14330,14402,16270
54,14330,14431,16322
55,14330,14410,15829
56,14330,14412,17106
57,14330,14422,16886
58,14330,14402,15896
59,14330,14538,17660
60,14330,14363,15263
61,14330,14369,15271
62,14330,14440,16121
63,14330,14350,15295
64,14330,14406,15930
65,14330,14442,17660
66,14330,14395,16177
67,14330,14405,16862
68,14330,14417,17660
69,14330,14417,15813
70,14330,14413,16862
71,14330,14424,17106
72,14330,14387,16121
73,14330,14372,15514
74,14330,14453,17106
75,14330,14415,17106
76,14330,14456,17660
77,14330,14369,15442
78,14330,14375,16121
79,14330,14403,16121
80,14330,14387,16107
81,14330,14389,15295
82,14330,14364,15364
83,14330,14407,16322
84,14330,14377,15896
85,14330,14360,16107
86,14330,14384,16389
87,14330,14478,16389
88,14330,14417,17106
89,14330,14447,17106
90,14330,14384,16363
91,14330,14392,15829
92,14330,14358,16107
93,14330,14359,15411
94,14330,14386,16270
95,14330,14359,15659
96,14330,14433,16389
97,14330,14369,15016
98,14330,14375,16389
99,14330,14341,15102
100,14330,14422,16703
