Case_ID;Instance;Initial_temp;Cooling_rate;SA_Best;SA_Worst;SA_Avg;SA_Std;SA_Time(s);SA_NFE_Avg;Best_Known_Value
28;tai20_5_0.fsp;1000;0.9;14217.0;14695.0;14376.1;160.95;8.425;10000;14033
29;tai20_5_0.fsp;1000;0.99;14208.0;14665.0;14383.9;134.78;8.436;10000;14033
30;tai20_5_0.fsp;1000;0.999;14049.0;14345.0;14208.3;101.67;8.436;10000;14033
31;tai20_5_0.fsp;1000;0.9999;14738.0;15154.0;14941.9;140.61;8.652;10000;14033
28;tai20_10_0.fsp;1000;0.9;21299.0;22252.0;21694.5;317.73;17.802;10000;20911
29;tai20_10_0.fsp;1000;0.99;21117.0;22585.0;21768.7;475.87;17.621;10000;20911
30;tai20_10_0.fsp;1000;0.999;21208.0;21980.0;21481.3;287.93;17.504;10000;20911
31;tai20_10_0.fsp;1000;0.9999;21897.0;22762.0;22370.3;264.43;17.066;10000;20911
28;tai20_20_0.fsp;1000;0.9;34073.0;34816.0;34508.2;211.71;33.683;10000;33623
29;tai20_20_0.fsp;1000;0.99;34210.0;34728.0;34475.4;205.53;33.699;10000;33623
30;tai20_20_0.fsp;1000;0.999;34007.0;34631.0;34251.9;162.76;33.879;10000;33623
31;tai20_20_0.fsp;1000;0.9999;34946.0;35627.0;35265.7;183.97;34.127;10000;33623
