generation,best,avg,worst
0,16543,18456,21148
1,15995,17599,19047
2,15909,16966,19039
3,15214,16532,17869
4,15071,16080,17503
5,15069,15709,17350
6,14904,15446,16819
7,14765,15222,16191
8,14765,15072,16517
9,14692,14982,17047
10,14649,14921,16955
11,14520,14763,15429
12,14520,14765,15882
13,14520,14717,16012
14,14520,14634,15971
15,14520,14565,16041
16,14520,14544,15636
17,14520,14605,16173
18,14489,14563,15523
19,14489,14588,16914
20,14489,14565,16281
21,14489,14522,15053
22,14489,14518,15687
23,14489,14545,16913
24,14489,14523,15528
25,14472,14591,16981
26,14472,14555,17024
27,14472,14546,16913
28,14472,14522,15401
29,14472,14530,15541
30,14472,14567,17536
31,14472,14535,15852
32,14472,14535,16353
33,14472,14578,16494
34,14472,14505,15650
35,14472,14557,16450
36,14472,14512,15852
37,14472,14575,16920
38,14472,14531,16107
39,14472,14496,15226
40,14472,14538,16818
41,14472,14596,17536
42,14472,14533,16242
43,14472,14555,16242
44,14472,14542,16450
45,14472,14515,16920
46,14472,14540,16231
47,14472,14511,16242
48,14472,14537,17536
49,14472,14586,16290
50,14472,14547,15861
51,14472,14518,16068
52,14472,14539,16031
53,14472,14556,16586
54,14472,14591,16818
55,14472,14544,16450
56,14472,14514,15373
57,14472,14570,16450
58,14472,14500,15050
59,14472,14602,17031
60,14472,14495,15125
61,14472,14493,15320
62,14472,14528,17536
63,14472,14547,16920
64,14472,14538,16196
65,14472,14535,16818
66,14472,14554,16914
67,14429,14585,16920
68,14429,14526,15816
69,14429,14538,16680
70,14429,14470,15650
71,14429,14497,16482
72,14429,14458,15136
73,14429,14480,15689
74,14429,14522,17524
75,14429,14491,17019
76,14429,14521,16278
77,14429,14516,16902
78,14419,14505,17019
79,14419,14505,16574
80,14419,14466,15488
81,14419,14487,16012
82,14419,14431,14945
83,14419,14474,16737
84,14412,14470,17478
85,14412,14474,15922
86,14412,14481,16102
87,14412,14488,17396
88,14412,14494,16509
89,14412,14459,16509
90,14412,14515,16469
91,14387,14435,14950
92,14387,14473,16794
93,14387,14422,14880
94,14387,14473,17427
95,14387,14475,15634
96,14387,14419,16029
97,14387,14436,15874
98,14387,14473,16944
99,14387,14414,15235
100,14387,14432,15854
