generation,best,avg,worst
0,15883,18478,21190
1,15570,17569,19865
2,15284,16939,19371
3,15015,16516,18747
4,14872,16133,18380
5,14834,15862,19322
6,14695,15599,17893
7,14629,15360,17742
8,14539,15164,17941
9,14455,15022,18376
10,14333,14885,17358
11,14212,14773,16998
12,14186,14658,17195
13,14142,14588,17993
14,14131,14491,18003
15,14131,14429,18138
16,14106,14341,17574
17,14094,14277,17879
18,14094,14216,17257
19,14094,14186,17820
20,14094,14187,17302
21,14094,14167,17838
22,14094,14175,17310
23,14094,14177,17167
24,14094,14154,17838
25,14094,14161,17310
26,14094,14156,17838
27,14094,14159,16853
28,14094,14168,17838
29,14094,14180,17838
30,14094,14169,17310
31,14094,14156,17310
32,14094,14160,16359
33,14094,14160,17167
34,14094,14165,17310
35,14094,14176,17167
36,14094,14177,17310
37,14094,14176,17167
38,14094,14174,16851
39,14094,14179,17838
40,14094,14169,17838
41,14094,14175,17838
42,14094,14162,17838
43,14094,14160,17167
44,14094,14168,17838
45,14094,14175,17838
46,14094,14181,17838
47,14094,14169,17310
48,14094,14165,17838
49,14094,14157,16853
50,14094,14166,17838
51,14094,14157,16412
52,14094,14166,17838
53,14094,14154,17310
54,14094,14149,16851
55,14094,14176,17310
56,14094,14189,17310
57,14094,14154,17310
58,14094,14180,17838
59,14094,14171,17838
60,14094,14172,17838
61,14094,14165,16359
62,14094,14157,16851
63,14094,14163,16851
64,14094,14167,16359
65,14094,14162,17838
66,14094,14160,17838
67,14094,14165,16851
68,14094,14170,17838
69,14094,14173,17167
70,14094,14158,17310
71,14094,14178,17838
72,14094,14172,16412
73,14094,14173,17838
74,14094,14170,17838
75,14094,14161,17838
76,14094,14177,17838
77,14094,14171,17838
78,14094,14165,17838
79,14094,14146,17310
80,14094,14165,16853
81,14094,14169,16851
82,14094,14175,17167
83,14094,14162,17838
84,14094,14147,16311
85,14094,14154,16359
86,14094,14148,17838
87,14094,14165,16412
88,14094,14160,17838
89,14094,14157,17167
90,14094,14152,16851
91,14094,14184,17838
92,14094,14149,17310
93,14094,14158,17838
94,14094,14160,17167
95,14094,14160,16359
96,14094,14172,17167
97,14094,14168,17838
98,14094,14175,17838
99,14094,14163,17838
100,14094,14173,17310
101,14094,14170,17838
102,14094,14174,17838
103,14094,14179,17838
104,14094,14155,16853
105,14094,14156,17310
106,14094,14182,17838
107,14094,14157,16853
108,14094,14158,17167
109,14094,14184,17310
110,14094,14156,17310
111,14094,14163,17167
112,14094,14172,16853
113,14094,14161,16243
114,14094,14169,17838
115,14094,14178,17838
116,14094,14160,17310
117,14094,14165,16853
118,14094,14164,16160
119,14094,14159,17310
120,14094,14173,17310
121,14094,14170,17310
122,14094,14166,17310
123,14094,14177,17838
124,14094,14152,17167
125,14094,14176,17167
126,14094,14175,17838
127,14094,14154,17167
128,14094,14161,16853
129,14094,14152,16359
130,14094,14174,17838
131,14094,14175,17838
132,14094,14174,17310
133,14094,14176,17838
134,14094,14166,17838
135,14094,14184,17838
136,14094,14152,17310
137,14094,14160,17310
138,14094,14154,17167
139,14094,14164,16311
140,14094,14170,17838
141,14094,14158,17838
142,14094,14160,16851
143,14094,14157,17838
144,14094,14170,17310
145,14094,14152,16853
146,14094,14146,17838
147,14094,14166,17838
148,14094,14172,17310
149,14094,14158,17167
150,14094,14186,17838
151,14094,14152,17167
152,14094,14175,17310
153,14094,14168,17838
154,14094,14167,16853
155,14094,14162,17310
156,14094,14167,16853
157,14094,14173,17310
158,14094,14177,17167
159,14094,14170,17838
160,14094,14176,17838
161,14094,14158,17167
162,14094,14162,17838
163,14094,14183,17838
164,14094,14175,17838
165,14094,14175,16853
166,14094,14160,17310
167,14094,14173,17838
168,14094,14164,17167
169,14094,14182,17838
170,14094,14164,16853
171,14094,14172,17838
172,14094,14160,17838
173,14094,14160,17838
174,14094,14169,16359
175,14094,14180,17310
176,14094,14156,17167
177,14094,14176,17838
178,14094,14165,17310
179,14094,14180,17838
180,14094,14148,17310
181,14094,14157,17838
182,14094,14168,16853
183,14094,14160,17838
184,14094,14161,17838
185,14094,14174,17310
186,14094,14153,16853
187,14094,14182,17838
188,14094,14168,17167
189,14094,14164,17167
190,14094,14163,16851
191,14094,14171,17310
192,14094,14158,17838
193,14094,14174,17310
194,14094,14184,17838
195,14094,14187,17838
196,14094,14184,17310
197,14094,14165,17310
198,14094,14161,17310
199,14094,14167,17167
200,14094,14149,16311
201,14094,14153,16851
202,14094,14170,17310
203,14094,14164,17838
204,14094,14149,17167
205,14094,14170,17167
206,14094,14150,16412
207,14094,14162,17167
208,14094,14180,17838
209,14094,14182,16853
210,14094,14163,17167
211,14094,14159,17838
212,14094,14173,17167
213,14094,14175,17310
214,14094,14145,17310
215,14094,14164,16853
216,14094,14143,17838
217,14094,14171,17838
218,14094,14151,17838
219,14094,14149,17310
220,14094,14163,17167
221,14094,14168,17310
222,14094,14162,16359
223,14094,14154,17310
224,14094,14172,17838
225,14094,14175,17310
226,14094,14151,17310
227,14094,14169,17838
228,14094,14167,17167
229,14094,14154,16853
230,14094,14172,17167
231,14094,14181,17838
232,14094,14168,16412
233,14094,14179,17167
234,14094,14156,16412
235,14094,14159,17310
236,14094,14158,17167
237,14094,14165,16853
238,14094,14181,16853
239,14094,14171,17838
240,14094,14159,17167
241,14094,14161,16412
242,14094,14170,17838
243,14094,14186,17310
244,14094,14189,17838
245,14094,14162,17838
246,14094,14158,17838
247,14094,14155,17167
248,14094,14186,17838
249,14094,14172,17310
250,14094,14159,17310
251,14094,14162,17838
252,14094,14180,17838
253,14094,14162,17167
254,14094,14164,17838
255,14094,14161,16851
256,14094,14156,17310
257,14094,14163,16853
258,14094,14159,17167
259,14094,14169,16853
260,14094,14173,17167
261,14094,14182,17838
